Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Saturday May 17,boxscore,SDP,@,SEA,L,2,4,,16-28,5,11.5,Bedard,Wolf,Putz,2:18,N,32290,.37,-,
45,Sunday May 18,boxscore,SDP,@,SEA,L,2,3,,16-29,5,12.5,Rhodes,Bell,Putz,2:25,D,35483,.35,--,
46,Monday May 19,boxscore,SDP,,STL,L,2,8,,16-30,5,13.0,Wellemeyer,Ledezma,,2:43,N,22638,.29,---,
47,Tuesday May 20,boxscore,SDP,,STL,W,3,2,,17-30,5,12.0,Corey,Pineiro,Hoffman,2:24,N,27181,.24,+,
48,Wednesday May 21,boxscore,SDP,,STL,L,3,11,,17-31,5,12.0,Looper,Young,,3:13,N,21011,.28,-,
49,Thursday May 22,boxscore,SDP,,CIN,W,8,2,,18-31,5,11.0,Wolf,Harang,,2:26,N,22047,.23,+,
50,Friday May 23,boxscore,SDP,,CIN,L,2,3,,18-32,5,12.0,Weathers,Hoffman,Cordero,3:05,N,26422,.27,-,
51,Saturday May 24,boxscore,SDP,,CIN,L,2,7,,18-33,5,12.0,Arroyo,Ledezma,,3:31,N,27499,.22,--,
52,Sunday May 25,boxscore,SDP,,CIN,W-wo,12,9,18,19-33,5,12.0,Banks,Volquez,,5:57,D,36508,.20,+,
53,Tuesday May 27,boxscore,SDP,,WSN,W,4,2,,20-33,5,10.5,Bell,Manning,Hoffman,2:38,N,18774,.22,++,
54,Wednesday May 28,boxscore,SDP,,WSN,L,4,6,,20-34,5,10.5,Perez,Estes,Rauch,2:43,N,19201,.28,-,
55,Thursday May 29,boxscore,SDP,,WSN,W,5,2,,21-34,4,9.5,Bell,Rivera,Hoffman,2:36,D,25021,.27,+,
56,Friday May 30,boxscore,SDP,@,SFG,W,7,3,13,22-34,4,8.5,Baek,Sadler,,3:44,N,37178,.38,++,
57,Saturday May 31,boxscore,SDP,@,SFG,W,5,1,,23-34,4,8.5,Banks,Misch,,2:34,D,34921,.45,+++,
58,Sunday Jun 1,boxscore,SDP,@,SFG,L-wo,3,4,10,23-35,4,9.5,Hinshaw,Hoffman,,2:55,D,33867,.48,-,
59,Monday Jun 2,boxscore,SDP,,CHC,L,6,7,,23-36,4,9.5,Zambrano,Baek,Wood,2:57,N,30259,.39,--,
60,Tuesday Jun 3,boxscore,SDP,,CHC,L,6,9,,23-37,4,9.5,Marquis,Corey,Wood,3:29,N,24477,.34,---,
61,Wednesday Jun 4,boxscore,SDP,,CHC,W,2,1,,24-37,4,8.5,Bell,Lilly,Hoffman,2:16,N,25258,.33,+,
62,Thursday Jun 5,boxscore,SDP,,NYM,W-wo,2,1,,25-37,4,8.0,Hoffman,Schoeneweis,,3:00,N,28867,.39,++,
63,Friday Jun 6,boxscore,SDP,,NYM,W,2,1,,26-37,4,8.0,Wolf,Santana,Hoffman,2:38,N,27749,.45,+++,
64,Saturday Jun 7,boxscore,SDP,,NYM,W-wo,2,1,10,27-37,4,8.0,Adams,Feliciano,,3:07,N,38972,.44,++++,
65,Sunday Jun 8,boxscore,SDP,,NYM,W,8,6,,28-37,4,7.0,Guevara,Wagner,Hoffman,3:15,D,31992,.45,+++++,
66,Tuesday Jun 10,boxscore,SDP,,LAD,L,2,7,,28-38,4,7.5,Proctor,Hampson,,3:10,N,26860,.68,-,
67,Wednesday Jun 11,boxscore,SDP,,LAD,W,4,1,,29-38,4,6.5,Wolf,Billingsley,Hoffman,2:07,N,29218,.55,+,
68,Thursday Jun 12,boxscore,SDP,,LAD,W,9,0,,30-38,4,6.5,Peavy,Kuroda,,2:38,D,39354,.67,++,
69,Friday Jun 13,boxscore,SDP,@,CLE,L,5,9,,30-39,4,7.5,Betancourt,Meredith,Kobayashi,3:32,N,31399,.59,-,
70,Saturday Jun 14,boxscore,SDP,@,CLE,W,8,3,10,31-39,3,6.5,Bell,Mujica,,3:24,N,37484,.53,+,
71,Sunday Jun 15,boxscore,SDP,@,CLE,L,3,7,,31-40,3,6.5,Sabathia,Maddux,,2:50,D,33017,.65,-,
72,Tuesday Jun 17,boxscore,SDP,@,NYY,L,0,8,,31-41,3,6.5,Pettitte,Wolf,,2:46,N,52306,.60,--,
73,Wednesday Jun 18,boxscore,SDP,@,NYY,L,5,8,,31-42,3,7.5,Rasner,Peavy,Rivera,3:11,N,52628,.58,---,
74,Thursday Jun 19,boxscore,SDP,@,NYY,L,1,2,,31-43,5,8.5,Veras,Banks,Rivera,3:12,D,54362,.51,----,
75,Friday Jun 20,boxscore,SDP,,DET,W,6,2,,32-43,4,7.5,Bell,Rodney,,2:36,N,40683,.40,+,
76,Saturday Jun 21,boxscore,SDP,,DET,L,5,7,,32-44,5,7.5,Robertson,Baek,Jones,2:52,N,34749,.50,-,
77,Sunday Jun 22,boxscore,SDP,,DET,L,3,5,,32-45,5,7.5,Verlander,Wolf,Jones,3:14,D,28779,.46,--,
78,Tuesday Jun 24,boxscore,SDP,,MIN,L,1,3,,32-46,4,8.0,Reyes,Hoffman,Nathan,2:48,N,36948,.39,---,
79,Wednesday Jun 25,boxscore,SDP,,MIN,L,3,9,,32-47,4,8.0,Perkins,Maddux,,2:51,N,22324,.38,----,
80,Thursday Jun 26,boxscore,SDP,,MIN,L,3,4,,32-48,5,8.5,Baker,Banks,Nathan,2:59,D,28789,.31,-----,
81,Friday Jun 27,boxscore,SDP,,SEA,L,2,5,,32-49,5,8.5,Washburn,Wolf,Morrow,3:08,N,28640,.29,------,
82,Saturday Jun 28,boxscore,SDP,,SEA,L,2,4,,32-50,5,9.5,Silva,Baek,Morrow,2:19,N,36396,.26,-------,
83,Sunday Jun 29,boxscore,SDP,,SEA,L,2,9,,32-51,5,9.5,Bedard,Peavy,,2:49,D,29966,.18,--------,
84,Monday Jun 30,boxscore,SDP,@,COL,W,15,8,,33-51,4,9.5,Bell,Fuentes,,3:15,N,43248,.18,+,
85,Tuesday Jul 1,boxscore,SDP,@,COL,L,0,4,,33-52,5,9.5,Cook,Banks,,1:58,N,26221,.22,-,
86,Wednesday Jul 2,boxscore,SDP,@,COL,L,1,8,,33-53,5,9.5,Jimenez,Wolf,,2:18,N,28377,.19,--,
87,Friday Jul 4,boxscore,SDP,@,ARI,W,5,1,,34-53,5,9.0,Baek,Haren,,3:02,N,49110,.18,+,
88,Saturday Jul 5,boxscore,SDP,@,ARI,W,4,2,,35-53,5,8.0,Peavy,Davis,Hoffman,2:45,N,40976,.21,++,
89,Sunday Jul 6,boxscore,SDP,@,ARI,L,2,3,,35-54,5,9.0,Johnson,Banks,Lyon,2:41,D,28246,.28,-,
90,Monday Jul 7,boxscore,SDP,,FLA,L,1,3,,35-55,5,9.5,Nolasco,Maddux,Gregg,2:28,N,23840,.17,--,
91,Tuesday Jul 8,boxscore,SDP,,FLA,W,10,1,,36-55,5,9.5,Wolf,Miller,,2:46,N,24762,.11,+,
92,Wednesday Jul 9,boxscore,SDP,,FLA,L,2,5,,36-56,5,9.5,Olsen,Baek,Gregg,2:41,D,31186,.14,-,
93,Friday Jul 11,boxscore,SDP,,ATL,W,4,0,,37-56,5,9.0,Peavy,Reyes,Hoffman,2:29,N,40232,.11,+,
94,Saturday Jul 12,boxscore,SDP,,ATL,L,1,4,,37-57,5,10.0,Morton,Maddux,Gonzalez,2:26,N,42438,.15,-,
95,Sunday Jul 13,boxscore,SDP,,ATL,L,3,12,,37-58,5,10.0,Campillo,Wolf,,2:53,D,31347,.12,--,
96,Thursday Jul 17,boxscore,SDP,@,STL,L,3,4,,37-59,5,10.5,Lohse,Peavy,Franklin,2:28,N,42148,.10,---,
97,Friday Jul 18,boxscore,SDP,@,STL,L,7,11,,37-60,5,10.5,McClellan,Bell,,3:21,N,44398,.09,----,
98,Saturday Jul 19,boxscore,SDP,@,STL,L,5,6,,37-61,5,11.5,Wellemeyer,Wolf,Franklin,2:57,D,45399,.06,-----,
99,Sunday Jul 20,boxscore,SDP,@,STL,L-wo,5,9,,37-62,5,11.5,Thompson,Corey,,3:11,D,44214,.06,------,
100,Monday Jul 21,boxscore,SDP,@,CIN,W,6,4,,38-62,5,11.5,Hensley,Cordero,Hoffman,3:07,N,18177,.04,+,
101,Tuesday Jul 22,boxscore,SDP,@,CIN,L-wo,3,4,11,38-63,5,12.5,Majewski,Corey,,3:31,N,21233,.04,-,
