Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Sunday May 18,boxscore,CIN,,CLE,W,6,4,,21-23,4,6.0,Volquez,Lee,Cordero,3:09,D,34612,.69,++++++,
45,Monday May 19,boxscore,CIN,@,LAD,L-wo,5,6,,21-24,5,7.0,Saito,Weathers,,3:15,N,34669,.76,-,
46,Tuesday May 20,boxscore,CIN,@,LAD,L,1,4,,21-25,6,7.0,Billingsley,Belisle,Saito,2:31,N,34306,.69,--,
47,Wednesday May 21,boxscore,CIN,@,LAD,L,2,5,,21-26,6,7.0,Kuroda,Cueto,Saito,2:41,N,33224,.66,---,
48,Thursday May 22,boxscore,CIN,@,SDP,L,2,8,,21-27,6,7.5,Wolf,Harang,,2:26,N,22047,.55,----,
49,Friday May 23,boxscore,CIN,@,SDP,W,3,2,,22-27,6,7.5,Weathers,Hoffman,Cordero,3:05,N,26422,.48,+,
50,Saturday May 24,boxscore,CIN,@,SDP,W,7,2,,23-27,6,6.5,Arroyo,Ledezma,,3:31,N,27499,.53,++,
51,Sunday May 25,boxscore,CIN,@,SDP,L-wo,9,12,18,23-28,6,6.5,Banks,Volquez,,5:57,D,36508,.61,-,
52,Tuesday May 27,boxscore,CIN,,PIT,W,9,6,,24-28,6,7.0,Cueto,Snell,Cordero,3:30,N,17964,.58,+,
53,Wednesday May 28,boxscore,CIN,,PIT,W,9,1,,25-28,5,7.0,Arroyo,Gorzelanny,,2:36,N,15797,.60,++,
54,Thursday May 29,boxscore,CIN,,PIT,L,2,7,,25-29,6,8.0,Dumatrait,Harang,,2:34,N,18142,.65,-,
55,Friday May 30,boxscore,CIN,,ATL,W-wo,3,2,11,26-29,5,8.0,Mercker,Ring,,3:07,N,37015,.59,+,
56,Saturday May 31,boxscore,CIN,,ATL,W-wo,8,7,10,27-29,5,8.0,Cordero,Acosta,,3:43,D,38585,.68,++,
57,Sunday Jun 1,boxscore,CIN,,ATL,W,6,2,,28-29,5,8.0,Cueto,Hudson,,2:42,D,35942,.71,+++,
58,Monday Jun 2,boxscore,CIN,@,PHI,L,4,5,,28-30,5,9.0,Kendrick,Arroyo,Lidge,2:33,N,38530,.76,-,
59,Tuesday Jun 3,boxscore,CIN,@,PHI,L,2,3,,28-31,5,10.0,Eaton,Harang,Lidge,2:42,N,45096,.70,--,
60,Wednesday Jun 4,boxscore,CIN,@,PHI,W,2,0,,29-31,5,9.0,Volquez,Myers,Cordero,2:49,N,45223,.60,+,
61,Thursday Jun 5,boxscore,CIN,@,PHI,L,0,5,,29-32,6,10.0,Hamels,Bailey,,2:06,D,45492,.66,-,
62,Friday Jun 6,boxscore,CIN,@,FLA,W,11,3,,30-32,5,9.0,Cueto,Miller,,3:20,N,16084,.59,+,
63,Saturday Jun 7,boxscore,CIN,@,FLA,L-wo,7,8,,30-33,5,9.0,Badenhop,Cordero,,3:15,N,25289,.70,-,
64,Sunday Jun 8,boxscore,CIN,@,FLA,L,2,9,,30-34,6,10.0,Tucker,Harang,,2:47,D,12444,.66,--,
65,Monday Jun 9,boxscore,CIN,@,FLA,W,9,4,,31-34,6,9.5,Volquez,Hendrickson,,3:09,N,16003,.54,+,
66,Tuesday Jun 10,boxscore,CIN,,STL,L,2,7,,31-35,6,10.5,Boggs,Bailey,,2:30,N,34234,.69,-,
67,Wednesday Jun 11,boxscore,CIN,,STL,L,0,10,,31-36,6,11.5,Looper,Cueto,,2:16,N,19851,.58,--,
68,Thursday Jun 12,boxscore,CIN,,STL,W,6,2,,32-36,6,11.5,Burton,Worrell,,2:36,N,22121,.48,+,
69,Friday Jun 13,boxscore,CIN,,BOS,W,3,1,,33-36,6,10.5,Harang,Masterson,Cordero,2:21,N,38855,.44,++,
70,Saturday Jun 14,boxscore,CIN,,BOS,L,4,6,10,33-37,6,11.5,Papelbon,Lincoln,Hansen,3:10,D,40947,.53,-,
71,Sunday Jun 15,boxscore,CIN,,BOS,L,0,9,,33-38,6,12.5,Beckett,Bailey,,3:07,D,39958,.44,--,
72,Tuesday Jun 17,boxscore,CIN,,LAD,L,1,3,,33-39,6,12.5,Billingsley,Cueto,Saito,2:53,N,26906,.35,---,
73,Wednesday Jun 18,boxscore,CIN,,LAD,L,1,6,,33-40,6,12.5,Lowe,Arroyo,,2:36,N,20055,.35,----,
74,Thursday Jun 19,boxscore,CIN,,LAD,L,4,7,,33-41,6,12.5,Stults,Harang,Saito,3:21,D,30136,.28,-----,
75,Friday Jun 20,boxscore,CIN,@,NYY,W,4,2,,34-41,6,12.5,Volquez,Mussina,Cordero,2:46,N,53421,.27,+,
76,Saturday Jun 21,boxscore,CIN,@,NYY,W,6,0,,35-41,5,12.5,Bray,Giese,,2:55,D,54509,.32,++,
77,Sunday Jun 22,boxscore,CIN,@,NYY,L,1,4,,35-42,6,13.5,Pettitte,Cueto,Rivera,2:54,D,54234,.33,-,
78,Tuesday Jun 24,boxscore,CIN,@,TOR,L,1,14,,35-43,6,13.5,Burnett,Arroyo,,2:42,N,28153,.26,--,
79,Wednesday Jun 25,boxscore,CIN,@,TOR,W,6,5,10,36-43,6,13.5,Burton,Wolfe,Cordero,3:35,N,25437,.22,+,
80,Thursday Jun 26,boxscore,CIN,@,TOR,L,1,7,,36-44,6,13.5,Litsch,Volquez,,2:26,N,25129,.27,-,
