Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Sunday May 18,boxscore,PIT,@,CHC,L,3,4,,21-23,4,6.0,Marquis,Dumatrait,Wood,2:42,D,41321,1.05,-,
45,Tuesday May 20,boxscore,PIT,,MIL,L,2,7,,21-24,4,6.5,Parra,Maholm,,3:09,N,11761,.84,--,
46,Wednesday May 21,boxscore,PIT,,MIL,L,1,4,,21-25,5,6.5,Sheets,Snell,,2:31,N,8805,.74,---,
47,Thursday May 22,boxscore,PIT,,MIL,W,8,4,,22-25,4,6.0,Gorzelanny,Bush,,2:47,N,12887,.66,+,
48,Friday May 23,boxscore,PIT,,CHC,L,3,12,,22-26,4,7.0,Zambrano,Duke,,2:45,N,32656,.79,-,
49,Saturday May 24,boxscore,PIT,,CHC,W-wo,5,4,14,23-26,4,6.0,Grabow,Wuertz,,4:21,N,29929,.71,+,
50,Sunday May 25,boxscore,PIT,,CHC,W-wo,6,5,11,24-26,4,5.0,Marte,Lieber,,3:26,D,29415,.76,++,
51,Tuesday May 27,boxscore,PIT,@,CIN,L,6,9,,24-27,5,6.5,Cueto,Snell,Cordero,3:30,N,17964,.74,-,
52,Wednesday May 28,boxscore,PIT,@,CIN,L,1,9,,24-28,6,7.5,Arroyo,Gorzelanny,,2:36,N,15797,.66,--,
53,Thursday May 29,boxscore,PIT,@,CIN,W,7,2,,25-28,5,7.5,Dumatrait,Harang,,2:34,N,18142,.61,+,
54,Friday May 30,boxscore,PIT,@,STL,L,4,5,,25-29,6,8.5,Wellemeyer,Duke,Franklin,2:38,N,42791,.70,-,
55,Saturday May 31,boxscore,PIT,@,STL,W,14,4,,26-29,6,8.5,Maholm,Parisi,,3:02,N,44302,.65,+,
56,Sunday Jun 1,boxscore,PIT,@,STL,L,4,7,,26-30,6,9.5,Looper,Snell,Franklin,2:55,D,43462,.75,-,
57,Monday Jun 2,boxscore,PIT,@,STL,W,5,4,,27-30,6,9.5,Osoria,Wainwright,Capps,2:31,N,42129,.64,+,
