Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Saturday May 17,boxscore,WSN,@,BAL,L,5,6,,18-26,5,7.0,Burres,Perez,Sherrill,2:54,N,32662,.49,--,
45,Sunday May 18,boxscore,WSN,@,BAL,W,2,1,,19-26,5,6.0,Lannan,Guthrie,Rauch,2:22,D,33745,.45,+,
46,Monday May 19,boxscore,WSN,,PHI,W,4,0,,20-26,5,5.5,Redding,Myers,,2:34,N,25394,.57,++,
47,Tuesday May 20,boxscore,WSN,,PHI,L,0,1,,20-27,5,6.5,Gordon,Rauch,Lidge,2:32,N,28105,.65,-,
48,Wednesday May 21,boxscore,WSN,,PHI,L,2,12,,20-28,5,7.5,Moyer,Chico,Condrey,2:58,N,28055,.56,--,
49,Friday May 23,boxscore,WSN,,MIL,W,5,1,,21-28,5,7.0,Sanches,Suppan,,2:42,N,28007,.40,+,
50,Saturday May 24,boxscore,WSN,,MIL,L,2,5,,21-29,5,7.5,McClung,Lannan,Torres,2:43,N,30029,.48,-,
51,Sunday May 25,boxscore,WSN,,MIL,W-wo,7,6,,22-29,5,8.0,Rauch,Mota,,3:08,D,35567,.39,+,
52,Monday May 26,boxscore,WSN,,MIL,L,3,4,11,22-30,5,9.0,Villanueva,Rivera,Torres,3:14,D,28552,.41,-,
53,Tuesday May 27,boxscore,WSN,@,SDP,L,2,4,,22-31,5,9.0,Bell,Manning,Hoffman,2:38,N,18774,.33,--,
54,Wednesday May 28,boxscore,WSN,@,SDP,W,6,4,,23-31,5,8.0,Perez,Estes,Rauch,2:43,N,19201,.31,+,
55,Thursday May 29,boxscore,WSN,@,SDP,L,2,5,,23-32,5,8.5,Bell,Rivera,Hoffman,2:36,D,25021,.35,-,
56,Friday May 30,boxscore,WSN,@,ARI,W,7,4,,24-32,5,8.0,Hanrahan,Owings,Rauch,2:42,N,25391,.28,+,
57,Saturday May 31,boxscore,WSN,@,ARI,L,0,4,,24-33,5,8.5,Webb,Bergmann,,1:52,N,38507,.36,-,
58,Sunday Jun 1,boxscore,WSN,@,ARI,L,0,5,,24-34,5,9.0,Haren,Hill,,2:20,D,28249,.31,--,
59,Tuesday Jun 3,boxscore,WSN,,STL,L,1,6,,24-35,5,10.5,Lohse,Perez,,2:27,N,26875,.26,---,
60,Thursday Jun 5 (1),boxscore,WSN,,STL,L,1,4,,24-36,5,10.5,Wellemeyer,Lannan,Franklin,2:43,D,27264,.24,----,2008-06-04 (Rain)
61,Thursday Jun 5 (2),boxscore,WSN,,STL,W-wo,10,9,10,25-36,5,10.5,Sanches,Franklin,,3:08,N,32357,.18,+,
62,Friday Jun 6,boxscore,WSN,,SFG,L,1,10,,25-37,5,11.5,Lincecum,Bergmann,,2:43,N,25987,.17,-,
63,Saturday Jun 7,boxscore,WSN,,SFG,L,0,6,,25-38,5,12.5,Sanchez,Hill,,2:19,N,30652,.16,--,
64,Sunday Jun 8,boxscore,WSN,,SFG,L,3,6,,25-39,5,13.5,Zito,Mock,Wilson,2:57,D,30224,.12,---,
65,Monday Jun 9,boxscore,WSN,,SFG,L,2,3,,25-40,5,14.0,Cain,Clippard,Wilson,3:06,N,26209,.09,----,
66,Tuesday Jun 10,boxscore,WSN,@,PIT,W,7,6,,26-40,5,13.0,Hanrahan,Capps,Rauch,2:38,N,12957,.09,+,
67,Wednesday Jun 11,boxscore,WSN,@,PIT,L,1,3,,26-41,5,13.0,Snell,Lannan,Capps,2:39,N,15439,.10,-,
68,Thursday Jun 12,boxscore,WSN,@,PIT,L,5,7,,26-42,5,14.0,Gorzelanny,Bergmann,Marte,2:59,D,16306,.08,--,
