Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Sunday May 18,boxscore,FLA,,KCR,L,3,9,,24-19,1,up 1.0,Greinke,Badenhop,,3:00,D,10617,1.23,-,
44,Tuesday May 20,boxscore,FLA,,ARI,W,3,2,,25-19,1,up 1.5,Hendrickson,Owings,Gregg,2:57,N,10696,1.32,+,
45,Wednesday May 21,boxscore,FLA,,ARI,W,3,1,,26-19,1,up 1.5,Nolasco,Webb,Gregg,2:33,N,11227,1.27,++,
46,Thursday May 22,boxscore,FLA,,ARI,W,4,0,,27-19,1,up 1.5,Miller,Haren,,2:37,N,13233,1.39,+++,
47,Friday May 23,boxscore,FLA,,SFG,L,2,8,,27-20,1,up 1.5,Zito,Olsen,,2:43,N,15003,1.30,-,
48,Sunday May 25 (1),boxscore,FLA,,SFG,W,8,6,,28-20,1,up 2.5,Hendrickson,Misch,Gregg,2:58,D,,1.34,+,2008-05-24 (Rain)
49,Sunday May 25 (2),boxscore,FLA,,SFG,W-wo,5,4,,29-20,1,up 2.5,Gregg,Walker,,3:15,N,14674,1.31,++,
50,Monday May 26,boxscore,FLA,@,NYM,W,7,3,,30-20,1,up 2.5,Nolasco,Pelfrey,,2:59,N,51489,1.55,+++,
51,Tuesday May 27,boxscore,FLA,@,NYM,L,3,5,,30-21,1,up 1.5,Santana,Miller,Wagner,2:50,N,47093,1.52,-,
52,Wednesday May 28,boxscore,FLA,@,NYM,L-wo,6,7,12,30-22,1,up 0.5,Sanchez,Miller,,3:39,N,47769,1.56,--,
53,Friday May 30,boxscore,FLA,@,PHI,L,3,12,,30-23,2,0.5,Myers,Hendrickson,,2:41,N,45118,1.62,---,
54,Saturday May 31,boxscore,FLA,@,PHI,W,7,3,,31-23,1,up 0.5,Nolasco,Hamels,,2:49,N,45261,1.63,+,
55,Sunday Jun 1,boxscore,FLA,@,PHI,L,5,7,,31-24,2,0.5,Moyer,Waechter,Lidge,2:37,D,45312,1.69,-,
56,Monday Jun 2,boxscore,FLA,@,ATL,L-wo,5,7,10,31-25,2,1.5,Ohman,Kensing,,3:01,N,20896,1.52,--,
57,Tuesday Jun 3,boxscore,FLA,@,ATL,L,4,5,,31-26,2,2.5,Ohman,Lindstrom,Soriano,2:59,N,25476,1.51,---,
58,Wednesday Jun 4,boxscore,FLA,@,ATL,W,6,4,,32-26,2,1.5,Miller,Acosta,Gregg,3:00,D,26917,1.47,+,
59,Thursday Jun 5,boxscore,FLA,@,ATL,L,5,7,,32-27,2,2.5,Jurrjens,Nolasco,Soriano,2:53,N,27238,1.53,-,
60,Friday Jun 6,boxscore,FLA,,CIN,L,3,11,,32-28,2,3.5,Cueto,Miller,,3:20,N,16084,1.34,--,
61,Saturday Jun 7,boxscore,FLA,,CIN,W-wo,8,7,,33-28,2,3.5,Badenhop,Cordero,,3:15,N,25289,1.28,+,
62,Sunday Jun 8,boxscore,FLA,,CIN,W,9,2,,34-28,2,3.5,Tucker,Harang,,2:47,D,12444,1.28,++,
63,Monday Jun 9,boxscore,FLA,,CIN,L,4,9,,34-29,2,4.0,Volquez,Hendrickson,,3:09,N,16003,1.29,-,
64,Tuesday Jun 10,boxscore,FLA,,PHI,W,5,4,,35-29,2,3.0,Nolasco,Myers,Gregg,2:37,N,12411,1.60,+,
65,Wednesday Jun 11,boxscore,FLA,,PHI,W-wo,6,2,,36-29,2,2.0,Gregg,Gordon,,2:30,N,14122,1.74,++,
66,Thursday Jun 12,boxscore,FLA,,PHI,L,0,3,,36-30,2,3.0,Moyer,Olsen,Lidge,2:29,N,15202,1.84,-,
67,Friday Jun 13,boxscore,FLA,@,TBR,L,3,7,,36-31,2,4.0,Sonnanstine,Tucker,,2:57,N,19312,1.33,--,
68,Saturday Jun 14,boxscore,FLA,@,TBR,L,1,4,,36-32,2,4.0,Garza,Hendrickson,Percival,2:58,N,31195,1.23,---,
69,Sunday Jun 15,boxscore,FLA,@,TBR,W,9,3,,37-32,2,3.0,Nolasco,Jackson,,2:55,D,28886,1.24,+,
70,Monday Jun 16,boxscore,FLA,@,SEA,W,6,1,,38-32,2,3.0,Miller,Silva,,2:42,N,21609,1.33,++,
71,Tuesday Jun 17,boxscore,FLA,@,SEA,L,4,5,,38-33,2,3.0,Hernandez,Olsen,Morrow,2:36,N,20214,1.28,-,
72,Wednesday Jun 18,boxscore,FLA,@,SEA,W,8,3,,39-33,2,2.0,Tucker,Dickey,,3:03,N,24163,1.36,+,
73,Friday Jun 20,boxscore,FLA,@,OAK,L-wo,6,7,11,39-34,2,2.0,Brown,Waechter,,3:32,N,15035,1.44,-,
74,Saturday Jun 21,boxscore,FLA,@,OAK,W,6,4,,40-34,2,1.0,Pinto,Street,Gregg,2:55,N,19287,1.39,+,
75,Sunday Jun 22,boxscore,FLA,@,OAK,L,1,7,,40-35,2,1.0,Duchscherer,Miller,,2:40,D,22461,1.39,-,
76,Tuesday Jun 24,boxscore,FLA,,TBR,L,4,6,,40-36,2,1.0,Howell,Pinto,Percival,3:18,N,12352,1.39,--,
77,Wednesday Jun 25,boxscore,FLA,,TBR,L,3,15,,40-37,2,2.0,Shields,Tucker,,3:02,N,13165,1.39,---,
78,Thursday Jun 26,boxscore,FLA,,TBR,L,1,6,,40-38,2,2.0,Garza,Hendrickson,,2:40,D,17107,1.28,----,
79,Friday Jun 27,boxscore,FLA,,ARI,W,3,1,,41-38,2,1.0,Nolasco,Owings,Gregg,2:40,N,15291,1.26,+,
80,Saturday Jun 28,boxscore,FLA,,ARI,L,2,6,,41-39,2,2.0,Webb,Miller,,2:53,N,27777,1.39,-,
81,Sunday Jun 29,boxscore,FLA,,ARI,W-wo,4,3,,42-39,2,1.0,Nelson,Lyon,,2:42,D,11327,1.28,+,
82,Monday Jun 30,boxscore,FLA,,WSN,W-wo,6,5,10,43-39,2,0.5,Gregg,Rauch,,3:24,N,10888,1.39,++,
83,Tuesday Jul 1,boxscore,FLA,,WSN,L,6,9,,43-40,2,1.5,Balester,Hendrickson,Rauch,3:10,N,12166,1.43,-,
84,Wednesday Jul 2,boxscore,FLA,,WSN,W,4,2,,44-40,2,1.5,Nolasco,Manning,Gregg,2:16,D,23624,1.34,+,
85,Thursday Jul 3,boxscore,FLA,@,COL,L-wo,5,6,11,44-41,2,2.5,Herges,Gregg,,3:30,N,48084,1.37,-,
86,Friday Jul 4,boxscore,FLA,@,COL,L-wo,17,18,,44-42,2,3.5,Buchholz,Gregg,,3:59,N,48691,1.35,--,
87,Saturday Jul 5,boxscore,FLA,@,COL,L,6,12,,44-43,2,3.5,De La Rosa,Tucker,,3:07,N,35137,1.22,---,
88,Sunday Jul 6,boxscore,FLA,@,COL,W,10,5,,45-43,2,2.5,Volstad,Cook,,3:11,D,27168,1.22,+,
89,Monday Jul 7,boxscore,FLA,@,SDP,W,3,1,,46-43,2,1.5,Nolasco,Maddux,Gregg,2:28,N,23840,1.33,++,
90,Tuesday Jul 8,boxscore,FLA,@,SDP,L,1,10,,46-44,2,1.5,Wolf,Miller,,2:46,N,24762,1.37,-,
91,Wednesday Jul 9,boxscore,FLA,@,SDP,W,5,2,,47-44,2,1.5,Olsen,Baek,Gregg,2:41,D,31186,1.36,+,
92,Thursday Jul 10,boxscore,FLA,@,LAD,W,5,4,11,48-44,2,1.5,Nelson,Falkenborg,Gregg,3:51,N,40417,1.40,++,
93,Friday Jul 11,boxscore,FLA,@,LAD,W,3,1,,49-44,2,1.5,Volstad,Stults,Gregg,2:14,N,49545,1.46,+++,
94,Saturday Jul 12,boxscore,FLA,@,LAD,W,5,3,11,50-44,2,0.5,Waechter,Troncoso,Gregg,3:26,N,55220,1.51,++++,
95,Sunday Jul 13,boxscore,FLA,@,LAD,L,1,9,,50-45,3,1.5,Billingsley,Miller,,2:38,D,42213,1.54,-,
96,Friday Jul 18,boxscore,FLA,,PHI,L,2,4,,50-46,3,2.5,Moyer,Nolasco,Lidge,2:48,N,23124,1.90,--,
97,Saturday Jul 19,boxscore,FLA,,PHI,W,9,5,,51-46,3,1.5,Olsen,Kendrick,,3:10,D,26520,1.73,+,
98,Sunday Jul 20,boxscore,FLA,,PHI,W-wo,3,2,11,52-46,3,0.5,Waechter,Condrey,,2:58,D,17724,1.95,++,
99,Monday Jul 21,boxscore,FLA,,ATL,L,0,4,,52-47,3,1.0,Campillo,Volstad,,2:24,N,14155,1.60,-,
100,Tuesday Jul 22,boxscore,FLA,,ATL,W,4,0,,53-47,2,1.0,van den Hurk,Morton,,2:33,N,14721,1.54,+,
101,Wednesday Jul 23,boxscore,FLA,,ATL,L,4,9,,53-48,3,1.0,Hudson,Nolasco,,2:52,N,16068,1.62,-,
102,Thursday Jul 24,boxscore,FLA,@,CHC,L,3,6,,53-49,3,2.0,Zambrano,Olsen,Marmol,2:45,N,41482,1.57,--,
103,Friday Jul 25,boxscore,FLA,@,CHC,W,3,2,,54-49,2,2.0,Miller,Howry,Gregg,3:11,D,41570,1.45,+,
