Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Tuesday May 20 (1),boxscore,ATL,,NYM,W,6,1,,23-21,2,1.5,Glavine,Maine,,2:44,D,26873,1.24,++,2008-04-04 (Rain)
45,Tuesday May 20 (2),boxscore,ATL,,NYM,W,6,2,,24-21,2,1.5,Campillo,Vargas,Acosta,2:30,N,25590,1.30,+++,
46,Wednesday May 21,boxscore,ATL,,NYM,W,11,4,,25-21,2,1.5,Jurrjens,Pelfrey,,3:14,N,30335,1.34,++++,
47,Thursday May 22,boxscore,ATL,,NYM,W,4,2,,26-21,2,1.5,Hudson,Santana,Ohman,2:21,N,30348,1.37,+++++,
48,Friday May 23,boxscore,ATL,,ARI,L,1,11,,26-22,2,1.5,Davis,Reyes,,2:33,N,27263,1.27,-,
49,Saturday May 24,boxscore,ATL,,ARI,W-wo,3,1,,27-22,2,1.0,Boyer,Slaten,,2:39,D,36263,1.24,+,
50,Sunday May 25,boxscore,ATL,,ARI,L,3,9,,27-23,2,2.5,Owings,Glavine,,3:24,D,35628,1.27,-,
51,Monday May 26,boxscore,ATL,,ARI,W,7,3,,28-23,2,2.5,Acosta,Webb,,3:07,D,29635,1.23,+,
52,Tuesday May 27,boxscore,ATL,@,MIL,L-wo,2,3,,28-24,3,2.5,Torres,Bennett,,2:26,N,28872,1.30,-,
53,Wednesday May 28,boxscore,ATL,@,MIL,L,0,1,,28-25,3,2.5,Suppan,Reyes,Torres,2:15,N,31612,1.24,--,
54,Thursday May 29,boxscore,ATL,@,MIL,W,8,1,,29-25,3,2.0,Campillo,McClung,,2:56,D,33334,1.22,+,
55,Friday May 30,boxscore,ATL,@,CIN,L-wo,2,3,11,29-26,3,2.5,Mercker,Ring,,3:07,N,37015,1.24,-,
56,Saturday May 31,boxscore,ATL,@,CIN,L-wo,7,8,10,29-27,3,3.0,Cordero,Acosta,,3:43,D,38585,1.14,--,
57,Sunday Jun 1,boxscore,ATL,@,CIN,L,2,6,,29-28,3,3.5,Cueto,Hudson,,2:42,D,35942,1.11,---,
58,Monday Jun 2,boxscore,ATL,,FLA,W-wo,7,5,10,30-28,3,3.5,Ohman,Kensing,,3:01,N,20896,1.18,+,
59,Tuesday Jun 3,boxscore,ATL,,FLA,W,5,4,,31-28,3,3.5,Ohman,Lindstrom,Soriano,2:59,N,25476,1.24,++,
60,Wednesday Jun 4,boxscore,ATL,,FLA,L,4,6,,31-29,3,3.5,Miller,Acosta,Gregg,3:00,D,26917,1.31,-,
