Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Tuesday May 20 (2),boxscore,NYM,@,ATL,L,2,6,,22-21,4,2.5,Campillo,Vargas,Acosta,2:30,N,25590,1.29,--,
44,Wednesday May 21,boxscore,NYM,@,ATL,L,4,11,,22-22,4,3.5,Jurrjens,Pelfrey,,3:14,N,30335,1.25,---,
45,Thursday May 22,boxscore,NYM,@,ATL,L,2,4,,22-23,4,4.5,Hudson,Santana,Ohman,2:21,N,30348,1.11,----,
46,Friday May 23,boxscore,NYM,@,COL,L-wo,5,6,13,22-24,4,4.5,Buchholz,Heilman,,4:15,N,33341,.91,-----,
47,Saturday May 24,boxscore,NYM,@,COL,W,9,2,,23-24,4,4.0,Vargas,Francis,,2:48,D,38142,.83,+,
48,Sunday May 25,boxscore,NYM,@,COL,L,1,4,,23-25,4,5.5,Cook,Maine,,2:28,D,42123,.90,-,
49,Monday May 26,boxscore,NYM,,FLA,L,3,7,,23-26,4,6.5,Nolasco,Pelfrey,,2:59,N,51489,.99,--,
50,Tuesday May 27,boxscore,NYM,,FLA,W,5,3,,24-26,4,5.5,Santana,Miller,Wagner,2:50,N,47093,.88,+,
51,Wednesday May 28,boxscore,NYM,,FLA,W-wo,7,6,12,25-26,4,4.5,Sanchez,Miller,,3:39,N,47769,.96,++,
52,Thursday May 29,boxscore,NYM,,LAD,W,8,4,,26-26,4,4.0,Vargas,Penny,,3:04,N,52886,.90,+++,
53,Friday May 30,boxscore,NYM,,LAD,L,5,9,,26-27,4,4.5,Park,Heilman,,3:10,N,52176,.94,-,
54,Saturday May 31,boxscore,NYM,,LAD,W,3,2,,27-27,4,4.0,Sanchez,Broxton,Wagner,2:48,D,53528,.83,+,
55,Sunday Jun 1,boxscore,NYM,,LAD,W,6,1,,28-27,3,3.5,Santana,Kuroda,,2:55,N,50263,.93,++,
56,Monday Jun 2,boxscore,NYM,@,SFG,L,2,10,,28-28,4,4.5,Sanchez,Perez,,2:44,N,36126,.98,-,
57,Tuesday Jun 3,boxscore,NYM,@,SFG,W,9,6,,29-28,4,4.5,Martinez,Zito,Wagner,3:08,N,35233,.96,+,
58,Wednesday Jun 4,boxscore,NYM,@,SFG,W,5,3,,30-28,3,3.5,Maine,Cain,Wagner,2:43,D,35646,.97,++,
59,Thursday Jun 5,boxscore,NYM,@,SDP,L-wo,1,2,,30-29,4,4.5,Hoffman,Schoeneweis,,3:00,N,28867,1.08,-,
60,Friday Jun 6,boxscore,NYM,@,SDP,L,1,2,,30-30,4,5.5,Wolf,Santana,Hoffman,2:38,N,27749,1.00,--,
61,Saturday Jun 7,boxscore,NYM,@,SDP,L-wo,1,2,10,30-31,4,6.5,Adams,Feliciano,,3:07,N,38972,.94,---,
62,Sunday Jun 8,boxscore,NYM,@,SDP,L,6,8,,30-32,4,7.5,Guevara,Wagner,Hoffman,3:15,D,31992,.87,----,
63,Tuesday Jun 10,boxscore,NYM,,ARI,L,5,9,,30-33,4,7.5,Qualls,Smith,,3:18,N,45808,.79,-----,
64,Wednesday Jun 11,boxscore,NYM,,ARI,W-wo,5,3,13,31-33,3,6.5,Vargas,Gonzalez,,3:54,N,46503,.69,+,
65,Thursday Jun 12,boxscore,NYM,,ARI,L,4,5,10,31-34,3,7.5,Lyon,Heilman,,3:36,D,47042,.75,-,
66,Friday Jun 13,boxscore,NYM,,TEX,W,7,1,,32-34,3,7.5,Perez,Feldman,,2:52,N,49880,.66,+,
67,Sunday Jun 15 (1),boxscore,NYM,,TEX,L,7,8,,32-35,3,6.5,Millwood,Maine,Wilson,3:23,D,,.76,-,2008-06-14 (Rain)
68,Sunday Jun 15 (2),boxscore,NYM,,TEX,W,4,2,,33-35,3,6.5,Martinez,Gabbard,Wagner,2:46,N,55438,.69,+,
69,Monday Jun 16,boxscore,NYM,@,LAA,W,9,6,,34-35,3,6.5,Pelfrey,Weaver,Wagner,3:10,N,39229,.76,++,
70,Tuesday Jun 17,boxscore,NYM,@,LAA,L,1,6,,34-36,3,6.5,Lackey,Santana,Shields,2:35,N,40122,.80,-,
71,Wednesday Jun 18,boxscore,NYM,@,LAA,W,5,4,10,35-36,3,5.5,Sanchez,Speier,Wagner,3:13,N,43138,.78,+,
72,Friday Jun 20,boxscore,NYM,@,COL,W,7,2,,36-36,3,4.5,Maine,Cook,,2:37,N,30411,.90,++,
73,Saturday Jun 21,boxscore,NYM,@,COL,L,1,7,,36-37,3,4.5,Jimenez,Martinez,,2:38,N,35637,1.06,-,
74,Sunday Jun 22,boxscore,NYM,@,COL,W,3,1,,37-37,3,3.5,Pelfrey,Reynolds,Wagner,2:34,D,45019,.94,+,
75,Monday Jun 23,boxscore,NYM,,SEA,L,2,5,,37-38,3,4.0,Rowland-Smith,Santana,Rhodes,2:39,N,49789,1.03,-,
76,Tuesday Jun 24,boxscore,NYM,,SEA,L,0,11,,37-39,3,4.0,Dickey,Perez,,2:45,N,49386,.94,--,
77,Wednesday Jun 25,boxscore,NYM,,SEA,W,8,2,,38-39,3,4.0,Maine,Batista,,2:25,N,52154,.91,+,
78,Friday Jun 27 (1),boxscore,NYM,@,NYY,W,15,6,,39-39,3,3.0,Pelfrey,Giese,,3:54,D,54978,1.05,++,2008-05-16 (Rain)
79,Friday Jun 27 (2),boxscore,NYM,,NYY,L,0,9,,39-40,3,3.0,Ponson,Martinez,,3:11,N,56308,1.13,-,
80,Saturday Jun 28,boxscore,NYM,,NYY,L,2,3,,39-41,3,4.0,Pettitte,Santana,Rivera,3:00,D,56172,1.07,--,
81,Sunday Jun 29,boxscore,NYM,,NYY,W,3,1,,40-41,3,3.0,Perez,Rasner,Wagner,3:00,D,56277,.97,+,
82,Monday Jun 30,boxscore,NYM,@,STL,L,1,7,,40-42,3,3.5,Lohse,Maine,,2:48,N,42206,1.16,-,
83,Tuesday Jul 1,boxscore,NYM,@,STL,W,7,4,,41-42,3,3.5,Armas,Wellemeyer,Wagner,2:40,N,42425,1.07,+,
84,Wednesday Jul 2,boxscore,NYM,@,STL,L-wo,7,8,,41-43,3,4.5,Franklin,Muniz,,3:21,N,40995,1.15,-,
85,Thursday Jul 3,boxscore,NYM,@,STL,W,11,1,,42-43,3,4.5,Pelfrey,Boggs,,2:37,N,43099,1.05,+,
86,Friday Jul 4,boxscore,NYM,@,PHI,L-wo,2,3,,42-44,3,5.5,Lidge,Sanchez,,2:34,N,44922,1.48,-,
87,Saturday Jul 5,boxscore,NYM,@,PHI,W,9,4,,43-44,3,4.5,Feliciano,Romero,,3:06,N,45190,1.32,+,
88,Sunday Jul 6,boxscore,NYM,@,PHI,W,4,2,12,44-44,3,3.5,Smith,Durbin,,4:25,D,45203,1.55,++,
89,Monday Jul 7,boxscore,NYM,@,PHI,W,10,9,,45-44,3,2.5,Martinez,Eaton,Wagner,3:37,N,44655,1.68,+++,
90,Tuesday Jul 8,boxscore,NYM,,SFG,W,7,0,,46-44,2,1.5,Pelfrey,Lincecum,,2:38,N,48887,1.32,++++,
91,Wednesday Jul 9,boxscore,NYM,,SFG,W,5,0,,47-44,2,1.5,Santana,Sanchez,,2:42,N,48896,1.40,+++++,
92,Thursday Jul 10,boxscore,NYM,,SFG,W,7,3,,48-44,2,1.5,Schoeneweis,Romo,,3:10,D,48755,1.47,++++++,
93,Friday Jul 11,boxscore,NYM,,COL,W,2,1,,49-44,2,1.5,Feliciano,Buchholz,Wagner,2:52,N,49016,1.50,+++++++,
94,Saturday Jul 12,boxscore,NYM,,COL,W,3,0,,50-44,2,0.5,Muniz,Jimenez,Wagner,2:43,D,54137,1.53,++++++++,
95,Sunday Jul 13,boxscore,NYM,,COL,W,7,0,,51-44,2,0.5,Pelfrey,Redman,,2:34,N,51293,1.56,+++++++++,
96,Thursday Jul 17,boxscore,NYM,@,CIN,W,10,8,,52-44,1,Tied,Sanchez,Cordero,Wagner,3:43,N,23681,1.65,++++++++++,
97,Friday Jul 18,boxscore,NYM,@,CIN,L,2,5,,52-45,2,1.0,Arroyo,Maine,Cordero,2:28,N,31922,1.71,-,
98,Saturday Jul 19,boxscore,NYM,@,CIN,L,2,7,,52-46,2,1.0,Fogg,Perez,,2:50,N,41959,1.68,--,
99,Sunday Jul 20,boxscore,NYM,@,CIN,W,7,5,10,53-46,1,Tied,Sanchez,Bray,Wagner,3:25,D,31195,1.64,+,
100,Tuesday Jul 22,boxscore,NYM,,PHI,L,6,8,,53-47,2,1.0,Durbin,Smith,Lidge,3:13,N,55081,2.29,-,
101,Wednesday Jul 23,boxscore,NYM,,PHI,W,6,3,,54-47,1,Tied,Maine,Madson,Wagner,2:46,N,53444,2.15,+,
102,Thursday Jul 24,boxscore,NYM,,PHI,W,3,1,,55-47,1,up 1.0,Heilman,Romero,Wagner,2:18,D,50962,2.29,++,
103,Friday Jul 25,boxscore,NYM,,STL,W,7,2,,56-47,1,up 2.0,Pelfrey,Boggs,,2:44,N,55372,1.84,+++,
104,Saturday Jul 26,boxscore,NYM,,STL,L,8,10,14,56-48,1,up 1.0,Thompson,Heilman,,5:09,N,53799,1.87,-,
105,Sunday Jul 27,boxscore,NYM,,STL,W,9,1,,57-48,1,up 1.0,Santana,Lohse,,2:30,D,53691,1.83,+,
106,Monday Jul 28,boxscore,NYM,@,FLA,L,3,7,,57-49,1,up 0.5,Waechter,Smith,,3:15,N,23165,2.28,-,
107,Tuesday Jul 29,boxscore,NYM,@,FLA,W,4,1,,58-49,1,up 0.5,Perez,Olsen,Wagner,3:01,N,25032,2.33,+,
108,Wednesday Jul 30,boxscore,NYM,@,FLA,L,5,7,,58-50,2,0.5,Johnson,Pelfrey,Gregg,2:48,N,25902,2.36,-,
109,Friday Aug 1,boxscore,NYM,@,HOU,L,3,7,,58-51,2,1.0,Brocail,Heilman,,2:54,N,41083,1.79,--,
110,Saturday Aug 2,boxscore,NYM,@,HOU,L-wo,4,5,10,58-52,3,2.0,Valverde,Heilman,,3:26,N,39152,1.79,---,
111,Sunday Aug 3,boxscore,NYM,@,HOU,L,0,4,,58-53,3,3.0,Wolf,Perez,,2:46,D,38602,1.65,----,
112,Tuesday Aug 5,boxscore,NYM,,SDP,W,6,5,,59-53,3,2.0,Pelfrey,Adams,Schoeneweis,2:48,N,52130,1.56,+,
113,Wednesday Aug 6,boxscore,NYM,,SDP,L,2,4,,59-54,3,3.0,Baek,Martinez,Hoffman,2:53,N,48018,1.62,-,
114,Thursday Aug 7,boxscore,NYM,,SDP,W-wo,5,3,,60-54,3,2.0,Heilman,Bell,,2:54,D,49352,1.48,+,
115,Friday Aug 8,boxscore,NYM,,FLA,W,3,0,,61-54,2,1.0,Perez,Nolasco,Heilman,2:39,N,50307,2.11,++,
