Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Saturday May 17,boxscore,PHI,,TOR,L,3,6,,24-20,2,1.0,Burnett,Eaton,Ryan,3:00,N,42604,1.24,-,
45,Sunday May 18,boxscore,PHI,,TOR,L,5,6,,24-21,2,1.0,Frasor,Seanez,Ryan,2:54,D,42858,1.22,--,
46,Monday May 19,boxscore,PHI,@,WSN,L,0,4,,24-22,3,1.5,Redding,Myers,,2:34,N,25394,1.23,---,
47,Tuesday May 20,boxscore,PHI,@,WSN,W,1,0,,25-22,2,1.5,Gordon,Rauch,Lidge,2:32,N,28105,1.17,+,
48,Wednesday May 21,boxscore,PHI,@,WSN,W,12,2,,26-22,2,1.5,Moyer,Chico,Condrey,2:58,N,28055,1.21,++,
49,Thursday May 22,boxscore,PHI,@,HOU,W,7,5,,27-22,2,1.5,Durbin,Wright,Lidge,3:07,N,29263,1.30,+++,
50,Friday May 23,boxscore,PHI,@,HOU,L,3,4,,27-23,2,1.5,Backe,Eaton,Valverde,2:38,N,41152,1.31,-,
51,Saturday May 24,boxscore,PHI,@,HOU,L,3,4,,27-24,3,2.0,Moehler,Myers,Brocail,2:44,N,42660,1.31,--,
52,Sunday May 25,boxscore,PHI,@,HOU,W,15,6,,28-24,2,2.5,Seanez,Nieve,,3:16,D,43079,1.25,+,
53,Monday May 26,boxscore,PHI,,COL,W,20,5,,29-24,2,2.5,Moyer,De La Rosa,,3:11,N,44764,1.28,++,
54,Tuesday May 27,boxscore,PHI,,COL,W,7,4,,30-24,2,1.5,Kendrick,Jimenez,,2:46,N,34716,1.25,+++,
55,Wednesday May 28,boxscore,PHI,,COL,W,6,1,,31-24,2,0.5,Eaton,Reynolds,,2:48,N,39845,1.30,++++,
56,Friday May 30,boxscore,PHI,,FLA,W,12,3,,32-24,1,up 0.5,Myers,Hendrickson,,2:41,N,45118,1.65,+++++,
57,Saturday May 31,boxscore,PHI,,FLA,L,3,7,,32-25,2,0.5,Nolasco,Hamels,,2:49,N,45261,1.69,-,
58,Sunday Jun 1,boxscore,PHI,,FLA,W,7,5,,33-25,1,up 0.5,Moyer,Waechter,Lidge,2:37,D,45312,1.69,+,
59,Monday Jun 2,boxscore,PHI,,CIN,W,5,4,,34-25,1,up 1.5,Kendrick,Arroyo,Lidge,2:33,N,38530,1.38,++,
60,Tuesday Jun 3,boxscore,PHI,,CIN,W,3,2,,35-25,1,up 2.5,Eaton,Harang,Lidge,2:42,N,45096,1.43,+++,
61,Wednesday Jun 4,boxscore,PHI,,CIN,L,0,2,,35-26,1,up 1.5,Volquez,Myers,Cordero,2:49,N,45223,1.45,-,
62,Thursday Jun 5,boxscore,PHI,,CIN,W,5,0,,36-26,1,up 2.5,Hamels,Bailey,,2:06,D,45492,1.42,+,
63,Friday Jun 6,boxscore,PHI,@,ATL,W,4,3,10,37-26,1,up 3.5,Gordon,Acosta,Lidge,3:36,N,34074,1.64,++,
