Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
45,Monday May 19,boxscore,COL,,SFG,W,4,3,,18-27,3,10.5,Grilli,Chulk,Fuentes,3:07,N,28362,.43,+++,
46,Tuesday May 20,boxscore,COL,,SFG,L,5,6,,18-28,3,10.5,Lincecum,Cook,Wilson,2:56,N,28361,.47,-,
47,Wednesday May 21,boxscore,COL,,SFG,L,2,3,10,18-29,4,10.5,Walker,Herges,Wilson,3:10,D,27081,.40,--,
48,Friday May 23,boxscore,COL,,NYM,W-wo,6,5,13,19-29,4,10.0,Buchholz,Heilman,,4:15,N,33341,.35,+,
49,Saturday May 24,boxscore,COL,,NYM,L,2,9,,19-30,4,10.0,Vargas,Francis,,2:48,D,38142,.40,-,
50,Sunday May 25,boxscore,COL,,NYM,W,4,1,,20-30,3,10.0,Cook,Maine,,2:28,D,42123,.36,+,
51,Monday May 26,boxscore,COL,@,PHI,L,5,20,,20-31,3,10.0,Moyer,De La Rosa,,3:11,N,44764,.39,-,
52,Tuesday May 27,boxscore,COL,@,PHI,L,4,7,,20-32,4,10.0,Kendrick,Jimenez,,2:46,N,34716,.37,--,
53,Wednesday May 28,boxscore,COL,@,PHI,L,1,6,,20-33,4,10.0,Eaton,Reynolds,,2:48,N,39845,.33,---,
54,Thursday May 29,boxscore,COL,@,CHC,L,4,8,,20-34,5,10.0,Wuertz,Herges,,3:14,N,39851,.32,----,
55,Friday May 30,boxscore,COL,@,CHC,L,9,10,,20-35,5,10.0,Eyre,Corpas,Wood,2:30,D,39686,.29,-----,
56,Saturday May 31,boxscore,COL,@,CHC,L,4,5,,20-36,5,11.0,Dempster,Rusch,Marmol,2:43,D,41529,.27,------,
57,Sunday Jun 1,boxscore,COL,@,CHC,L,3,5,,20-37,5,12.0,Gallagher,Jimenez,Wood,2:56,D,41730,.23,-------,
58,Monday Jun 2,boxscore,COL,@,LAD,L,2,8,,20-38,5,12.0,Lowe,Reynolds,,2:30,N,39098,.23,--------,
59,Tuesday Jun 3,boxscore,COL,@,LAD,W,3,0,,21-38,5,11.0,Francis,Penny,Fuentes,3:00,N,38548,.21,+,
60,Wednesday Jun 4,boxscore,COL,@,LAD,W,2,1,,22-38,5,10.0,Cook,Kershaw,Fuentes,2:48,D,36393,.27,++,
61,Friday Jun 6,boxscore,COL,,MIL,W,6,4,,23-38,5,10.0,Corpas,Mota,Fuentes,2:34,N,30558,.30,+++,
